TRDTYPE,DISAGMOT,COUNTRY,VALUE,SHIPWT,FREIGHT_CHARGES,DF,MONTH,YEAR
26311.0,26311.0,26311.0,26311.0,26311.0,26311.0,16385.0,26311.0,26311.0
1.3772566607122496,4.833757743909391,1513.168636691878,3646736.783588613,1722680.1316939683,50170.90099198054,1.3217577052181875,2.0,2020.0
0.4847091933517811,1.423814080689143,381.6554854432818,37673017.558664165,43191825.73623706,963319.4307721438,0.4671648574473428,0.0,0.0
1.0,1.0,1220.0,52.0,0.0,0.0,1.0,2.0,2020.0
1.0,5.0,1220.0,18003.0,0.0,0.0,1.0,2.0,2020.0
1.0,5.0,1220.0,89770.0,6.0,360.0,1.0,2.0,2020.0
2.0,5.0,2010.0,562614.0,11144.5,3549.5,2.0,2.0,2020.0
2.0,9.0,2010.0,2354774119.0,5955146177.0,136233660.0,2.0,2.0,2020.0
