TRDTYPE,DEPE,COMMODITY2,DISAGMOT,COUNTRY,VALUE,SHIPWT,FREIGHT_CHARGES,DF,CONTCODE,MONTH,YEAR
1,0106,8,5,1220,2382230,0,48286,2.0,X,1,2020
1,0106,11,5,1220,126758,0,15365,1.0,X,1,2020
1,0106,12,5,1220,121763,0,3060,1.0,X,1,2020
1,0106,12,5,1220,10418,0,50,2.0,X,1,2020
1,0106,15,5,1220,332329,0,8139,1.0,X,1,2020
1,0106,16,5,1220,110193,0,1231,2.0,X,1,2020
1,0106,17,5,1220,7146,0,319,2.0,X,1,2020
1,0106,19,5,1220,1482526,0,131335,1.0,X,1,2020
1,0106,19,5,1220,17969,0,294,2.0,X,1,2020
1,0106,20,5,1220,262738,0,27418,1.0,X,1,2020
1,0106,20,5,1220,93765,0,7335,2.0,X,1,2020
1,0106,21,5,1220,160126,0,14546,1.0,X,1,2020
1,0106,22,5,1220,1054623,0,68726,1.0,X,1,2020
1,0106,22,5,1220,36737,0,2269,2.0,X,1,2020
1,0106,25,5,1220,83164,0,5357,1.0,X,1,2020
1,0106,27,5,1220,1224866,0,58995,1.0,X,1,2020
1,0106,27,8,1220,18750,0,286,1.0,X,1,2020
1,0106,28,5,1220,327659,0,25153,1.0,X,1,2020
1,0106,29,5,1220,303222,0,9231,1.0,X,1,2020
1,0106,29,5,1220,3166,0,61,2.0,X,1,2020
1,0106,31,5,1220,116641,0,14644,1.0,X,1,2020
1,0106,32,5,1220,362898,0,22012,1.0,X,1,2020
1,0106,32,5,1220,4695,0,92,2.0,X,1,2020
1,0106,33,5,1220,229271,0,5832,1.0,X,1,2020
1,0106,33,5,1220,244797,0,5285,2.0,X,1,2020
1,0106,34,5,1220,148970,0,8738,1.0,X,1,2020
1,0106,34,5,1220,14527,0,1550,2.0,X,1,2020
1,0106,35,5,1220,252829,0,3632,1.0,X,1,2020
1,0106,38,5,1220,906619,0,33010,1.0,X,1,2020
1,0106,38,5,1220,74108,0,6876,2.0,X,1,2020
1,0106,39,5,1220,3222132,0,116684,1.0,X,1,2020
1,0106,39,5,1220,373744,0,17551,2.0,X,1,2020
1,0106,40,5,1220,9018170,0,475853,1.0,X,1,2020
1,0106,40,5,1220,786891,0,11184,2.0,X,1,2020
1,0106,41,5,1220,130747,0,2562,1.0,X,1,2020
1,0106,42,5,1220,2524,0,12,2.0,X,1,2020
1,0106,44,5,1220,1266849,0,73367,1.0,X,1,2020
1,0106,44,5,1220,36145,0,2062,2.0,X,1,2020
1,0106,47,5,1220,91666,0,7505,1.0,X,1,2020
1,0106,47,5,1220,290827,0,13440,2.0,X,1,2020
1,0106,48,5,1220,1526022,0,98973,1.0,X,1,2020
1,0106,48,5,1220,25135,0,992,2.0,X,1,2020
1,0106,54,5,1220,66946,0,663,1.0,X,1,2020
1,0106,55,5,1220,10167,0,347,2.0,X,1,2020
1,0106,56,5,1220,1208556,0,22391,1.0,X,1,2020
1,0106,56,5,1220,40503,0,113,2.0,X,1,2020
1,0106,57,5,1220,125327,0,4490,1.0,X,1,2020
1,0106,58,5,1220,34786,0,173,1.0,X,1,2020
1,0106,58,5,1220,13152,0,304,2.0,X,1,2020
1,0106,59,5,1220,1192760,0,43494,1.0,X,1,2020
1,0106,60,5,1220,14825,0,290,1.0,X,1,2020
1,0106,61,5,1220,2958,0,152,1.0,X,1,2020
1,0106,62,5,1220,49309,0,226,2.0,X,1,2020
1,0106,63,5,1220,25106,0,1769,1.0,X,1,2020
1,0106,68,5,1220,535943,0,30462,1.0,X,1,2020
1,0106,69,5,1220,95546,0,2132,1.0,X,1,2020
1,0106,70,5,1220,239482,0,8229,1.0,X,1,2020
1,0106,71,5,1220,3139,0,38,1.0,X,1,2020
1,0106,72,5,1220,632440,0,55739,1.0,X,1,2020
1,0106,72,5,1220,188191,0,14833,2.0,X,1,2020
