TRDTYPE,DEPE,COMMODITY2,DISAGMOT,COUNTRY,VALUE,SHIPWT,FREIGHT_CHARGES,DF,CONTCODE,MONTH,YEAR
1,0106,5,5,1220,386892,0,25265,1.0,X,3,2020
1,0106,6,5,1220,67013,0,2400,1.0,X,3,2020
1,0106,6,5,1220,414180,0,2044,2.0,X,3,2020
1,0106,7,5,1220,902190,0,76125,1.0,X,3,2020
1,0106,7,5,1220,40104,0,2573,2.0,X,3,2020
1,0106,8,5,1220,306593,0,15278,1.0,X,3,2020
1,0106,8,5,1220,2287787,0,47555,2.0,X,3,2020
1,0106,9,5,1220,40057,0,3222,2.0,X,3,2020
1,0106,11,5,1220,49647,0,5146,1.0,X,3,2020
1,0106,12,5,1220,172819,0,18439,1.0,X,3,2020
1,0106,15,5,1220,385069,0,6707,1.0,X,3,2020
1,0106,16,5,1220,50292,0,1308,1.0,X,3,2020
1,0106,16,5,1220,25847,0,3223,2.0,X,3,2020
1,0106,18,5,1220,184600,0,1717,1.0,X,3,2020
1,0106,19,5,1220,1272410,0,105561,1.0,X,3,2020
1,0106,20,5,1220,327271,0,39655,1.0,X,3,2020
1,0106,20,5,1220,51453,0,3473,2.0,X,3,2020
1,0106,21,5,1220,150090,0,11665,1.0,X,3,2020
1,0106,22,5,1220,527581,0,31010,1.0,X,3,2020
1,0106,22,5,1220,49732,0,1879,2.0,X,3,2020
1,0106,23,5,1220,33846,0,663,1.0,X,3,2020
1,0106,25,5,1220,100849,0,6252,1.0,X,3,2020
1,0106,26,5,1220,5176,0,101,1.0,X,3,2020
1,0106,27,5,1220,929734,0,36304,1.0,X,3,2020
1,0106,27,5,1220,33354,0,2851,2.0,X,3,2020
1,0106,28,5,1220,802914,0,73362,1.0,X,3,2020
1,0106,28,5,1220,83241,0,345,2.0,X,3,2020
1,0106,29,5,1220,121053,0,4461,1.0,X,3,2020
1,0106,29,5,1220,66038,0,3373,2.0,X,3,2020
1,0106,30,5,1220,8978,0,539,1.0,X,3,2020
1,0106,31,5,1220,61736,0,6807,1.0,X,3,2020
1,0106,32,5,1220,561529,0,27603,1.0,X,3,2020
1,0106,33,5,1220,231570,0,5081,1.0,X,3,2020
1,0106,33,5,1220,122712,0,2605,2.0,X,3,2020
1,0106,34,5,1220,211360,0,3834,1.0,X,3,2020
1,0106,34,5,1220,2706,0,124,2.0,X,3,2020
1,0106,35,5,1220,178376,0,3295,1.0,X,3,2020
1,0106,38,5,1220,946205,0,32606,1.0,X,3,2020
1,0106,38,5,1220,110269,0,9669,2.0,X,3,2020
1,0106,39,5,1220,3563155,0,122342,1.0,X,3,2020
1,0106,39,5,1220,381773,0,16644,2.0,X,3,2020
1,0106,40,5,1220,6664039,0,368144,1.0,X,3,2020
1,0106,40,5,1220,393802,0,6976,2.0,X,3,2020
1,0106,42,5,1220,8694,0,42,1.0,X,3,2020
1,0106,42,5,1220,6592,0,32,2.0,X,3,2020
1,0106,44,5,1220,1445023,0,102048,1.0,X,3,2020
1,0106,44,5,1220,35099,0,2511,2.0,X,3,2020
1,0106,47,5,1220,228415,0,19256,1.0,X,3,2020
1,0106,47,5,1220,11387,0,393,2.0,X,3,2020
1,0106,48,5,1220,1891426,0,106863,1.0,X,3,2020
1,0106,48,5,1220,31136,0,273,2.0,X,3,2020
1,0106,51,5,1220,12946,0,295,1.0,X,3,2020
1,0106,54,5,1220,59201,0,585,1.0,X,3,2020
1,0106,56,5,1220,1126612,0,15263,1.0,X,3,2020
1,0106,57,5,1220,229632,0,8182,1.0,X,3,2020
1,0106,57,5,1220,7113,0,35,2.0,X,3,2020
1,0106,59,5,1220,1224684,0,34657,1.0,X,3,2020
1,0106,59,5,1220,18493,0,864,2.0,X,3,2020
1,0106,61,5,1220,29099,0,568,2.0,X,3,2020
1,0106,62,5,1220,7970,0,39,1.0,X,3,2020
1,0106,62,5,1220,22631,0,111,2.0,X,3,2020
1,0106,63,5,1220,17320,0,11,1.0,X,3,2020
1,0106,65,5,1220,6912,0,34,1.0,X,3,2020
1,0106,68,5,1220,1296796,0,51506,1.0,X,3,2020
1,0106,69,5,1220,18087,0,14,1.0,X,3,2020
1,0106,70,5,1220,213622,0,9412,1.0,X,3,2020
1,0106,71,5,1220,676579,0,2359,2.0,X,3,2020
1,0106,72,5,1220,212823,0,19910,1.0,X,3,2020
1,0106,73,5,1220,4045380,0,255582,1.0,X,3,2020
1,0106,73,5,1220,322196,0,17950,2.0,X,3,2020
1,0106,74,5,1220,3121,0,149,1.0,X,3,2020
1,0106,74,5,1220,7072,0,325,2.0,X,3,2020
1,0106,76,5,1220,450401,0,31450,1.0,X,3,2020
1,0106,81,5,1220,12220,0,1261,1.0,X,3,2020
1,0106,82,5,1220,34116,0,995,1.0,X,3,2020
1,0106,83,5,1220,127578,0,1508,1.0,X,3,2020
1,0106,83,5,1220,3382,0,184,2.0,X,3,2020
1,0106,84,5,1220,10174715,0,189484,1.0,X,3,2020
1,0106,84,5,1220,4826420,0,86616,2.0,X,3,2020
1,0106,85,5,1220,1406840,0,33493,1.0,X,3,2020
1,0106,85,5,1220,1140503,0,7404,2.0,X,3,2020
1,0106,86,5,1220,161495,0,1368,1.0,X,3,2020
1,0106,87,5,1220,9265828,0,123117,1.0,X,3,2020
1,0106,87,5,1220,2006954,0,32966,2.0,X,3,2020
1,0106,88,5,1220,44157,0,864,1.0,X,3,2020
1,0106,89,5,1220,476418,0,5496,1.0,X,3,2020
1,0106,89,5,1220,61678,0,609,2.0,X,3,2020
1,0106,90,5,1220,3244731,0,28159,1.0,X,3,2020
1,0106,90,5,1220,21421,0,326,2.0,X,3,2020
1,0106,91,5,1220,11737,0,157,1.0,X,3,2020
1,0106,94,5,1220,1830961,0,27634,1.0,X,3,2020
1,0106,94,5,1220,150272,0,5974,2.0,X,3,2020
1,0106,95,5,1220,5126,0,103,2.0,X,3,2020
1,0106,96,5,1220,411082,0,13853,1.0,X,3,2020
1,0106,98,5,1220,18995,0,372,1.0,X,3,2020
1,0106,98,5,1220,2550,0,12,2.0,X,3,2020
1,0107,7,5,1220,157975,0,8954,1.0,X,3,2020
1,0107,11,5,1220,34111,0,5300,1.0,X,3,2020
1,0107,20,5,1220,26658,0,521,1.0,X,3,2020
1,0107,39,5,1220,17948,0,611,1.0,X,3,2020
1,0107,44,5,1220,285184,0,8022,1.0,X,3,2020
1,0107,87,5,1220,4526,0,201,1.0,X,3,2020
1,0108,10,5,1220,53163,0,1166,1.0,X,3,2020
1,0108,35,5,1220,40057,0,2719,1.0,X,3,2020
1,0108,35,5,1220,7417,0,503,2.0,X,3,2020
1,0108,44,5,1220,336683,0,19781,1.0,X,3,2020
1,0108,44,6,1220,1075910,0,101440,1.0,X,3,2020
1,0108,48,5,1220,1325465,0,74304,1.0,X,3,2020
1,0108,56,5,1220,18994,0,490,1.0,X,3,2020
1,0108,68,5,1220,2721,0,69,1.0,X,3,2020
1,0108,72,5,1220,14457,0,250,1.0,X,3,2020
1,0108,82,5,1220,27065,0,404,1.0,X,3,2020
1,0108,84,5,1220,184881,0,3743,1.0,X,3,2020
1,0108,84,5,1220,7615,0,703,2.0,X,3,2020
1,0108,85,5,1220,10742,0,347,1.0,X,3,2020
1,0108,85,5,1220,3689,0,250,2.0,X,3,2020
1,0108,86,5,1220,2748,0,59,1.0,X,3,2020
1,0108,87,5,1220,75139,0,3338,1.0,X,3,2020
1,0108,88,5,1220,10528,0,26,1.0,X,3,2020
1,0108,90,5,1220,6242,0,159,1.0,X,3,2020
1,0109,27,5,1220,20505,0,2005,1.0,X,3,2020
1,0109,39,5,1220,3575,0,171,1.0,X,3,2020
1,0109,48,5,1220,229924,0,3443,1.0,X,3,2020
1,0109,84,5,1220,27079,0,702,1.0,X,3,2020
1,0109,85,5,1220,64043,0,884,1.0,X,3,2020
1,0109,87,5,1220,34965,0,584,1.0,X,3,2020
1,0110,7,5,1220,82143,0,3159,1.0,X,3,2020
1,0110,44,5,1220,199476,0,8640,1.0,X,3,2020
1,0110,47,5,1220,116622,0,10861,1.0,X,3,2020
1,0110,48,5,1220,784398,0,22439,1.0,X,3,2020
1,0110,87,5,1220,396488,0,3270,1.0,X,3,2020
1,0110,87,5,1220,7284,0,122,2.0,X,3,2020
1,0112,28,5,1220,3725,0,89,1.0,X,3,2020
1,0112,32,5,1220,4719,0,92,1.0,X,3,2020
1,0112,84,5,1220,24670,0,173,1.0,X,3,2020
1,0115,1,5,1220,10739,0,210,1.0,X,3,2020
1,0115,2,5,1220,17671,0,346,1.0,X,3,2020
1,0115,3,5,1220,5080079,0,112310,1.0,X,3,2020
1,0115,3,5,1220,368874,0,9952,2.0,X,3,2020
1,0115,5,5,1220,29537,0,1340,1.0,X,3,2020
1,0115,6,5,1220,22246,0,2479,1.0,X,3,2020
1,0115,7,5,1220,26999,0,2208,1.0,X,3,2020
1,0115,8,5,1220,1074816,0,74896,1.0,X,3,2020
1,0115,8,5,1220,2472901,0,142243,2.0,X,3,2020
1,0115,9,5,1220,30560,0,598,2.0,X,3,2020
1,0115,11,5,1220,9739,0,358,1.0,X,3,2020
1,0115,12,5,1220,356678,0,18250,1.0,X,3,2020
1,0115,12,5,1220,76413,0,928,2.0,X,3,2020
1,0115,13,5,1220,14236,0,250,1.0,X,3,2020
1,0115,15,5,1220,78686,0,6606,1.0,X,3,2020
1,0115,15,5,1220,16161,0,1247,2.0,X,3,2020
1,0115,17,5,1220,39181,0,2819,1.0,X,3,2020
1,0115,17,5,1220,12898,0,867,2.0,X,3,2020
1,0115,19,5,1220,315887,0,37219,1.0,X,3,2020
1,0115,20,5,1220,293993,0,36319,1.0,X,3,2020
1,0115,21,5,1220,91077,0,3046,1.0,X,3,2020
1,0115,21,5,1220,63660,0,1397,2.0,X,3,2020
1,0115,22,5,1220,571150,0,43167,1.0,X,3,2020
1,0115,22,5,1220,2802,0,33,2.0,X,3,2020
1,0115,23,5,1220,33407,0,3824,1.0,X,3,2020
1,0115,23,5,1220,11158,0,1347,2.0,X,3,2020
1,0115,25,5,1220,60640,0,3091,1.0,X,3,2020
1,0115,27,5,1220,191216,0,4502,1.0,X,3,2020
1,0115,27,6,1220,66257,0,3223,1.0,X,3,2020
1,0115,27,7,1220,4804207,0,0,1.0,X,3,2020
1,0115,28,5,1220,190708,0,11528,1.0,X,3,2020
1,0115,28,5,1220,17421,0,857,2.0,X,3,2020
1,0115,29,5,1220,95406,0,1014,1.0,X,3,2020
1,0115,29,5,1220,2789,0,117,2.0,X,3,2020
1,0115,30,5,1220,13518,0,378,1.0,X,3,2020
1,0115,31,5,1220,102711,0,6290,1.0,X,3,2020
1,0115,32,5,1220,449598,0,16258,1.0,X,3,2020
1,0115,32,5,1220,32883,0,644,2.0,X,3,2020
1,0115,33,5,1220,97023,0,2548,1.0,X,3,2020
1,0115,33,5,1220,110983,0,4416,2.0,X,3,2020
1,0115,34,5,1220,554040,0,20317,1.0,X,3,2020
1,0115,34,5,1220,8991,0,456,2.0,X,3,2020
1,0115,35,5,1220,158566,0,8740,1.0,X,3,2020
1,0115,37,5,1220,10684,0,159,1.0,X,3,2020
1,0115,38,5,1220,456986,0,17929,1.0,X,3,2020
1,0115,38,5,1220,7931,0,105,2.0,X,3,2020
1,0115,39,5,1220,3177486,0,160125,1.0,X,3,2020
1,0115,39,5,1220,600893,0,28040,2.0,X,3,2020
1,0115,39,6,1220,21416,0,1573,2.0,X,3,2020
1,0115,40,5,1220,666437,0,22517,1.0,X,3,2020
1,0115,40,5,1220,413339,0,18524,2.0,X,3,2020
1,0115,41,5,1220,5529,0,108,2.0,X,3,2020
1,0115,42,5,1220,20868,0,420,2.0,X,3,2020
1,0115,44,5,1220,426506,0,20947,1.0,X,3,2020
1,0115,44,5,1220,58881,0,2103,2.0,X,3,2020
1,0115,47,5,1220,801029,0,73461,1.0,X,3,2020
1,0115,47,5,1220,78928,0,1786,2.0,X,3,2020
1,0115,48,5,1220,3390763,0,261552,1.0,X,3,2020
1,0115,48,5,1220,37747,0,4418,2.0,X,3,2020
1,0115,49,5,1220,154280,0,6598,1.0,X,3,2020
1,0115,49,5,1220,3744,0,73,2.0,X,3,2020
1,0115,51,5,1220,6877,0,155,1.0,X,3,2020
1,0115,52,5,1220,91437,0,5306,1.0,X,3,2020
1,0115,52,5,1220,16226,0,256,2.0,X,3,2020
1,0115,53,5,1220,560745,0,10779,1.0,X,3,2020
1,0115,54,5,1220,119114,0,7580,1.0,X,3,2020
1,0115,55,5,1220,9076,0,345,1.0,X,3,2020
1,0115,56,5,1220,306416,0,3263,1.0,X,3,2020
1,0115,56,5,1220,48314,0,2218,2.0,X,3,2020
1,0115,57,5,1220,172388,0,3208,1.0,X,3,2020
1,0115,57,5,1220,5504,0,127,2.0,X,3,2020
1,0115,57,6,1220,34672,0,1282,1.0,X,3,2020
1,0115,58,5,1220,12041,0,128,1.0,X,3,2020
1,0115,59,5,1220,65101,0,1714,1.0,X,3,2020
1,0115,59,5,1220,19952,0,391,2.0,X,3,2020
1,0115,60,5,1220,66416,0,1472,1.0,X,3,2020
1,0115,60,5,1220,5257,0,103,2.0,X,3,2020
1,0115,61,5,1220,15369,0,383,2.0,X,3,2020
1,0115,62,5,1220,44252,0,3876,1.0,X,3,2020
1,0115,62,5,1220,147369,0,1246,2.0,X,3,2020
1,0115,63,5,1220,57760,0,4118,1.0,X,3,2020
1,0115,63,5,1220,297587,0,23255,2.0,X,3,2020
1,0115,64,5,1220,8385,0,164,2.0,X,3,2020
1,0115,65,5,1220,7256,0,142,1.0,X,3,2020
1,0115,65,5,1220,13996,0,628,2.0,X,3,2020
1,0115,66,5,1220,3098,0,198,2.0,X,3,2020
1,0115,67,5,1220,9826,0,234,2.0,X,3,2020
1,0115,68,5,1220,293823,0,9136,1.0,X,3,2020
1,0115,68,5,1220,13579,0,282,2.0,X,3,2020
1,0115,69,5,1220,33337,0,2007,1.0,X,3,2020
1,0115,69,5,1220,22976,0,1359,2.0,X,3,2020
1,0115,70,5,1220,377885,0,15945,1.0,X,3,2020
1,0115,70,5,1220,4246,0,20,2.0,X,3,2020
1,0115,71,5,1220,2738,0,83,1.0,X,3,2020
1,0115,72,5,1220,151496,0,9419,1.0,X,3,2020
1,0115,72,5,1220,8047,0,967,2.0,X,3,2020
1,0115,73,5,1220,1706765,0,52492,1.0,X,3,2020
1,0115,73,5,1220,322445,0,16090,2.0,X,3,2020
1,0115,74,5,1220,155378,0,4586,1.0,X,3,2020
1,0115,74,5,1220,20548,0,979,2.0,X,3,2020
1,0115,75,5,1220,10207,0,200,1.0,X,3,2020
1,0115,75,5,1220,3776,0,73,2.0,X,3,2020
1,0115,76,5,1220,666700,0,37849,1.0,X,3,2020
1,0115,78,5,1220,36114,0,1500,1.0,X,3,2020
1,0115,79,5,1220,8056,0,388,1.0,X,3,2020
1,0115,79,5,1220,9773,0,477,2.0,X,3,2020
1,0115,81,5,1220,30447,0,670,1.0,X,3,2020
1,0115,81,5,1220,98525,0,3026,2.0,X,3,2020
1,0115,82,5,1220,184719,0,3440,1.0,X,3,2020
1,0115,82,5,1220,48365,0,2005,2.0,X,3,2020
1,0115,83,5,1220,183092,0,6481,1.0,X,3,2020
1,0115,83,5,1220,175344,0,2195,2.0,X,3,2020
1,0115,84,5,1220,10704719,0,266794,1.0,X,3,2020
1,0115,84,5,1220,3687668,0,92921,2.0,X,3,2020
1,0115,85,5,1220,2328656,0,64617,1.0,X,3,2020
1,0115,85,5,1220,1223693,0,35048,2.0,X,3,2020
1,0115,86,5,1220,36707,0,675,1.0,X,3,2020
1,0115,86,5,1220,14355,0,281,2.0,X,3,2020
1,0115,87,5,1220,3417842,0,63582,1.0,X,3,2020
1,0115,87,5,1220,757693,0,12149,2.0,X,3,2020
1,0115,88,5,1220,802516,0,7255,1.0,X,3,2020
1,0115,88,5,1220,344098,0,438,2.0,X,3,2020
1,0115,89,5,1220,235986,0,9227,1.0,X,3,2020
1,0115,89,5,1220,14486,0,510,2.0,X,3,2020
1,0115,90,5,1220,614776,0,11733,1.0,X,3,2020
1,0115,90,5,1220,423352,0,5086,2.0,X,3,2020
1,0115,92,5,1220,10262,0,201,2.0,X,3,2020
1,0115,93,5,1220,6247,0,30,1.0,X,3,2020
1,0115,94,5,1220,953336,0,38452,1.0,X,3,2020
1,0115,94,5,1220,342460,0,10973,2.0,X,3,2020
1,0115,95,5,1220,220904,0,5666,1.0,X,3,2020
1,0115,95,5,1220,90996,0,4386,2.0,X,3,2020
1,0115,96,5,1220,15630,0,530,1.0,X,3,2020
1,0115,96,5,1220,48005,0,375,2.0,X,3,2020
1,0115,97,5,1220,6656,0,255,1.0,X,3,2020
1,0115,98,5,1220,170185,0,3673,1.0,X,3,2020
1,0115,98,5,1220,8609,0,248,2.0,X,3,2020
1,0118,10,5,1220,24165,0,530,1.0,X,3,2020
1,0118,48,5,1220,40119,0,4048,1.0,X,3,2020
