TRDTYPE,COMMODITY2,DISAGMOT,COUNTRY,VALUE,SHIPWT,FREIGHT_CHARGES,DF,MONTH,YEAR
16246.0,16246.0,16246.0,16246.0,16246.0,16246.0,16246.0,9690.0,16246.0,16246.0
1.4035454881201526,55.037609257663426,4.5935614920595835,1537.098978210021,5050565.587098363,2653855.855349009,71210.13197094669,1.3611971104231166,6.0,2020.0
0.4906234236060977,28.54427049892866,1.502952598968867,387.25400157056134,41002222.718810506,51714067.40771536,1156249.3509321944,0.48037232625954746,0.0,0.0
1.0,1.0,1.0,1220.0,0.0,0.0,0.0,1.0,6.0,2020.0
1.0,30.0,3.0,1220.0,18081.0,0.0,1.0,1.0,6.0,2020.0
1.0,57.0,5.0,1220.0,116935.0,45.0,620.5,1.0,6.0,2020.0
2.0,84.0,5.0,2010.0,914959.75,13551.5,7263.75,2.0,6.0,2020.0
2.0,99.0,9.0,2010.0,1872541152.0,5637962340.0,130287437.0,2.0,6.0,2020.0
