TRDTYPE,DISAGMOT,COUNTRY,VALUE,SHIPWT,FREIGHT_CHARGES,DF,MONTH,YEAR
24155.0,24155.0,24155.0,24155.0,24155.0,24155.0,14742.0,24155.0,24155.0
1.3896915752432208,4.811343407162078,1494.2024425584766,2321214.767294556,1654234.0991927136,40709.1104533223,1.3212589879256549,5.0,2020.0
0.48769037094745,1.382164569858319,376.08350878916514,21432340.8069929,36503892.42118804,698822.7420426977,0.466975848188248,0.0,0.0
1.0,1.0,1220.0,0.0,0.0,0.0,1.0,5.0,2020.0
1.0,5.0,1220.0,18299.0,0.0,0.0,1.0,5.0,2020.0
1.0,5.0,1220.0,84208.0,8.0,430.0,1.0,5.0,2020.0
2.0,5.0,2010.0,498530.0,13994.5,3784.5,2.0,5.0,2020.0
2.0,9.0,2010.0,1609561706.0,4489330937.0,89902139.0,2.0,5.0,2020.0
